,x,y,skill_id,Навык,Профессия,size
37,3.3376772,3.8469462,46,Machine Learning,ML инженер,13.685462555066072
38,2.6771033,4.5553827,42,Data Science,ML инженер,1.989427312775338
39,-2.0435011,-6.035224,94,Математическая статистика,ML инженер,2.253744493392068
40,3.168962,4.933064,514,PyTorch,ML инженер,3.377092511013214
41,-1.4349215,-6.1369333,318,Математический анализ,ML инженер,0.8660792951541914
42,3.2711816,2.429236,1299,Pandas,ML инженер,1.1964757709251126
43,6.385646,-1.0770928,759,Hadoop,ML инженер,2.5841409691629886
44,7.029302,-0.47025442,420,Spark,ML инженер,2.5180616740088153
45,2.8612945,4.3098006,1024,Scikit-learn,ML инженер,0.9321585903083651
46,3.62124,4.9220967,247,NLP,ML инженер,1.5268722466960338
47,3.321288,2.80822,447,Numpy,ML инженер,1.394713656387669
48,4.6112127,-1.0811611,563,Linux,ML инженер,3.311013215859023
49,4.4880986,0.112787835,856,Git,ML инженер,2.5841409691629886
50,6.018617,0.20008722,431,Docker,ML инженер,2.5841409691629886
51,3.995392,4.423943,29,Computer Vision,ML инженер,1.1303964757709215
52,3.2809954,-2.4659755,201,Базы данных,ML инженер,1.3286343612334777
53,3.366811,5.066624,685,Tensorflow,ML инженер,1.8572687224669553
54,3.5470293,4.47821,521,Deep Learning,ML инженер,1.7911894273127817
55,4.3188934,-1.9530991,345,PostgreSQL,ML инженер,2.914537444933928
56,8.383849,0.816865,31,Airflow,ML инженер,0.8660792951541914
57,5.7675037,-1.6797442,803,ClickHouse,ML инженер,1.1303964757709215
58,3.3387387,1.5382197,573,Алгоритмы,ML инженер,1.2625550660793037
60,6.547024,-0.29429314,76,Java,ML инженер,1.5268722466960338
62,3.0450416,5.853619,692,Нейронные сети,ML инженер,0.9321585903083651
74,4.2892647,5.192855,720,C++,ML инженер,2.0555066079295115
102,7.512572,0.36771598,643,Kafka,ML инженер,1.1964757709251126
116,7.2034025,-1.0281209,93,DWH,ML инженер,1.2625550660793037
126,7.7328157,-0.6028073,244,ETL,ML инженер,2.914537444933928
143,6.893841,0.4589943,2012,Kubernetes,ML инженер,1.1303964757709215
144,4.452259,6.1697965,209,Adobe Photoshop,ML инженер,0.8
2,-5.265017,-5.4454136,2,Аналитическое мышление,Инженер данных,1.0488151658767721
5,-2.140256,-4.295081,84,Английский,Инженер данных,5.669668246445487
6,-0.05774284,-4.2943864,24,SQL,Инженер данных,15.551184834123212
13,-3.5074766,-5.5416393,491,Анализ данных,Инженер данных,1.5464454976303335
19,-1.6685798,-4.803078,151,Работа с большим объемом информации,Инженер данных,4.496682464454976
25,-3.6719744,-5.5977354,343,Power BI,Инженер данных,1.510900473933642
30,-0.33927864,-4.6728945,675,MS SQL,Инженер данных,2.968246445497634
33,1.6836092,-2.7131217,126,Python,Инженер данных,15.8
37,3.3376772,3.8469462,46,Machine Learning,Инженер данных,1.901895734597163
38,2.6771033,4.5553827,42,Data Science,Инженер данных,0.8
42,3.2711816,2.429236,1299,Pandas,Инженер данных,0.8
43,6.385646,-1.0770928,759,Hadoop,Инженер данных,7.127014218009481
44,7.029302,-0.47025442,420,Spark,Инженер данных,6.025118483412316
48,4.6112127,-1.0811611,563,Linux,Инженер данных,3.572511848341236
49,4.4880986,0.112787835,856,Git,Инженер данных,2.2928909952606666
50,6.018617,0.20008722,431,Docker,Инженер данных,2.683886255924171
52,3.2809954,-2.4659755,201,Базы данных,Инженер данных,6.842654028436017
55,4.3188934,-1.9530991,345,PostgreSQL,Инженер данных,7.091469194312789
56,8.383849,0.816865,31,Airflow,Инженер данных,4.53222748815165
57,5.7675037,-1.6797442,803,ClickHouse,Инженер данных,3.9635071090047393
60,6.547024,-0.29429314,76,Java,Инженер данных,2.2928909952606666
61,6.4067163,-1.072747,623,Hive,Инженер данных,1.4753554502369677
65,-1.1547692,-4.9185348,1039,Работа с базами данных,Инженер данных,1.6886255924170652
67,-2.0221703,-5.05041,34,BI,Инженер данных,1.1199052132701381
86,6.110619,-0.3241883,79,CI/CD,Инженер данных,1.190995260663504
95,3.7451742,-2.13215,631,ORACLE,Инженер данных,1.9729857819905119
97,3.1591096,-2.5139785,622,MySQL,Инженер данных,0.8355450236966746
99,4.8666434,-0.97570544,1753,Bash,Инженер данных,0.9066350710900405
102,7.512572,0.36771598,643,Kafka,Инженер данных,3.110426540284366
116,7.2034025,-1.0281209,93,DWH,Инженер данных,4.603317535545016
122,7.971638,0.049513057,221,Greenplum,Инженер данных,2.3284360189573414
126,7.7328157,-0.6028073,244,ETL,Инженер данных,9.330805687203789
127,8.692902,1.4241942,1620,SCALA,Инженер данных,2.257345971563975
143,6.893841,0.4589943,2012,Kubernetes,Инженер данных,1.439810426540276
145,8.13087,-0.36161807,448,Хранилище данных,Инженер данных,1.2620853080568697
146,7.429,0.052943725,136,NoSQL,Инженер данных,1.0488151658767721
147,8.87303,1.7320459,603,NiFi,Инженер данных,0.8
